Name,Age,Gender,Education_level,Experience,Career_preference,Skills,Actual_career
Benjamin Turner,26,Male,UCE Certificate,4,Electrician,"Electrical Wiring, Troubleshooting, Safety",Electrician
Noah Thompson,34,Male,UACE Certificate,12,Civil Engineer,"Structural Design, AutoCAD, Project Management",Civil Engineer
Carla Mitchell,27,Female,Diploma's,5,Lecturer,"Curriculum Planning, Classroom Management",Primary School Teacher
Alex Carter,29,Male,UCE Certificate,3,Police Officer,"Risk Assessment, Security Systems, Surveillance",Police officer
Jasmine Roberts,30,Female,UACE Certificate,7,Judicial Officer,"Recruitment, Employee Relations, HR Systems",Lawyer
Samuel Scott,38,Male,UACE Certificate,15,Architect,"Inventory Control, Logistics, Team Leadership",Human resource manager
Lily Harrison,24,Female,UCE Certificate,2,Doctor,"Customer Service, Communication, CRM",Human resource manager
Ethan Davis,40,Male,UACE Certificate,18,Project Manager,"Logistics, Vehicle Maintenance, Route Planning",Content creator
Maria Johnson,33,Female,UACE Certificate,9,Architect,"Property Listings, Negotiation, Sales",Real Estate Agent
Isaac Walker,28,Male,UCE Certificate,2,Architect,"Woodworking, Blueprint Reading, Construction",IT officer
Sophia Davis,25,Female,Diploma's,3,Musician,"Sketching, Textile Design, Sewing",Writer
William King,29,Male,UACE Certificate,6,Digital markerter,"Brand Management, Advertising, Analytics",Entreprenuer
Kate Anderson,24,Female,UCE Certificate,1,Product Manager,"Fitness Coaching, Nutrition, CPR",Real Estate Agent
Thomas Lee,34,Male,UACE Certificate,10,Architect,"Architectural Design, AutoCAD, 3D Modeling",Architect
Mia Brown,32,Female,Diploma's,5,Pharmacist,"Lab Equipment, Diagnostics, Patient Testing",Public Health Officer
Alexander Evans,36,Male,UACE Certificate,14,Marketing Director,"Digital Marketing, Team Leadership, Strategy",Journalist
Naomi Clark,27,Female,UCE Certificate,3,Public Relations Officer,"Media Relations, Crisis Management, Writing",Writer
Robert Lewis,30,Male,UACE Certificate,7,Software Engineer,"Python, Java, SQL, Web Development",UX designer
Charlotte Phillips,29,Female,UCE Certificate,4,Joursalist,"Legal Research, Document Drafting, Court Procedures",Content Creator
Brian Nakato,28,Male,Diploma's,5,Network Engineer,"Networking, Cisco, Troubleshooting",IT Support 
Clare Namaganda,25,Female,UACE Certificate,3,Journalist,"Writing, Research, Interviewing",TV presenter
Peter Okello,33,Male,UACE Certificate,10,Civil Engineer,"AutoCAD, Site Planning, Materials Testing",High school teacher
Sarah Adoch,29,Female,Bachelor's,6,Data Scientist,"Python, Statistics, Machine Learning",Business Analyst
Denis Mugisha,30,Male,Diploma's,7,Civil Engineer,"Mechanics, Electrical Systems, Safety Inspection",Automation Engineer
Angela Tusiime,26,Female,UCE Certificate,3,Nurse,"First Aid, Vital Signs Monitoring, Empathy",Receptionist
Ronald Bwambale,34,Male,UACE Certificate,12,Software Developer,"HTML, PHP, Databases",Cybersecurity officer
Brenda Kirabo,27,Female,Bachelor's,5,Human Rights Lawyer,"Advocacy, Legal Research, Public Speaking",Cashier
Isaac Ssekandi,31,Male,Diploma's,8,Photographer,"Lighting, Editing, Composition",Graphic Designer
Fiona Nakato,24,Female,UCE Certificate,2,Fashion Designer,"Sewing, Fabric Cutting, Styling",Musician
James Kyobe,36,Male,UACE Certificate,14,Lecturer,"Research, Academic Writing, Teaching",Sales Representative
Edith Nanyonjo,29,Female,Diploma's,6,Chef,"Food Prep, Recipe Development, Sanitation",Chef
Kenneth Tumusiime,32,Male,Bachelor's,9,Political Analyst,"Research, Critical Thinking, Policy Writing",Radio Presenter
Grace Nabwire,25,Female,UACE Certificate,3,Flight Attendant,"Customer Service, Communication, Safety Briefing",Author
Joseph Kizza,30,Male,UCE Certificate,5,Event Planner,"Sound Mixing, Studio Equipment, Creativity",Musician
Doreen Namusoke,33,Female,Diploma's,7,Doctor,"Maternal Care, Health Education, First Aid",Nurse
Andrew Lwanga,28,Male,UACE Certificate,6,Architect,"3D Modelling, CAD, Structural Design",Web Developer
Joan Nakitende,26,Female,UCE Certificate,3,Police Officer,"First Aid, Community Policing, Law Knowledge",Police officer
Marvin Musoke,31,Male,Bachelor's,8,Research Scientist,"Lab Work, Data Analysis, Reporting",AI researcher
Hellen Mukasa,35,Female,Diploma's,10,Accountant,"Budgeting, Invoicing, Reporting",Project Manager
Lucy Nakayiza,27,Female,UCE Certificate,3, Pilot,"Aviation Knowledge, Communication, Leadership",Pilot
Joshua Muwonge,29,Male,UACE Certificate,6,Entrepreneur,"Business Planning, Negotiation, Leadership",Sales Representative
Betty Akello,25,Female,Diploma's,4,Pharmacist,"Sample Analysis, Microscope Handling, Safety",Nurse
Daniel Ouma,31,Male,Diploma's,7,IT Manager,"Network Admin, Systems Management, Cybersecurity",IT support
Rose Mbabazi,28,Female,UACE Certificate,5,Actress,"Acting, Public Speaking, Improvisation",Radio Presenter
Simon Obbo,30,Male,UCE Certificate,6,Mechanical Engineer,"CAD, Machinery, Maintenance",Chef
Phiona Kisakye,24,Female,UCE Certificate,2,Model,"Posing, Grooming, Fashion Sense",Fashion designer
Michael Byaruhanga,32,Male,Diploma's,10,Software Engineer,"Java, Web Dev, SQL",Cybersecurity Specialist
Agnes Nakimera,34,Female,UACE Certificate,12,Bank manager ,"Finance, Risk Management, Client Relations",Financial Analyst
Allan Katumba,29,Male,UCE Certificate,4,Interior Designer,"Space Planning, Creativity, 3D Visualization",Architect
Ruth Kabanda,26,Female,Diploma's,3,TV Presenter,"Public Speaking, Confidence, Creativity",Receptionist
Samuel Mukiibi,30,Male,UACE Certificate,7,Forensic Scientist,"Investigation, Research, Law",Police officer
Irene Achieng,25,Female,UCE Certificate,3,Musician,"Singing, Stage Performance, Composition",IT support
Robert Akena,33,Male,Diploma's,8,Economist,"Data Analysis, Finance, Policy",Marketing Manager
Juliet Komugisha,28,Female,UCE Certificate,5,Public Health Officer,"Health Education, Sanitation, Field Work",Nurse
Steven Bukenya,35,Male,UACE Certificate,10,Pilot,"Navigation, Safety, Communication",Chef
Brenda Mirembe,30,Female,Diploma's,6,Biochemist,"Laboratory Work, Data Analysis, Scientific Writing",Lab Assistant
Godfrey Tumwine,31,Male,UCE Certificate,7,Chef,"Emergency Response, CPR, Teamwork",Call Center Agent
Esther Namazzi,27,Female,UACE Certificate,5,Author,"Creative Writing, Editing, Research",Lab Assistant
George Kato,36,Male,Diploma's,11,Mechanical Engineer,"Motor Repair, Diagnostic Tools, Safety Procedures",Chef
Kevin Ssenyonga,28,Male,Diploma's,6,Game Developer,"Creativity, Storyboarding, 3D Modeling",Lecturer
Lydia Nansubuga,26,Female,UCE Certificate,3,Fashion Designer,"Sewing, Fabric Matching, Customer Service",Receptionist
Fred Kaggwa,35,Male,UACE Certificate,12,Financial Analyst,"Budgeting, Excel, Financial Modeling",Procurement Officer
Ruth Katusabe,30,Female,Diploma's,7,Chef,"Cooking, Plating, Time Management",Project Manager
Samuel Omara,32,Male,UCE Certificate,5,Architect,"Drafting, AutoCAD, Site Planning",Electrician
Tracy Nabukenya,25,Female,UACE Certificate,3,Lawyer,"Public Speaking, Legal Research, Writing", Secretary
David Owori,34,Male,Diploma's,9,Software Developer,"HTML, CSS, JavaScript",Graphic Designer
Brenda Kizza,27,Female,UCE Certificate,4,Digital Marketer,"SEO, Social Media, Analytics",Data Entry Clerk
Isaac Oryema,30,Male,UACE Certificate,6,Mechanical Engineer,"Engine Maintenance, Diagnostics",Data Entry Clerk
Jane Tendo,24,Female,Diploma's,2,Environmental Scientist,"Sampling, Research, Awareness Campaigns",Police officer
Mark Musisi,33,Male,UCE Certificate,8,Surgeon,"Endurance, Teamwork, Agility",Public Health Officer
Stella Amuge,29,Female,UACE Certificate,6,TV Producer,"Directing, Editing, Media Planning",Journalist
Andrew Lutaaya,31,Male,Diploma,7,Data Analyst,"SQL, Excel, Python",System Administrator
Caroline Namuli,26,Female,UCE Certificate,3,Surgeon,"Maternal Care, Health Education",Nurse
Joseph Lubega,36,Male,UACE Certificate,15,Lecturer,"Public Speaking, Research, Instructional Design",Writer
Fatuma Nansamba,28,Female,UCE Certificate,5,Artist,"Drawing, Painting, Illustration",Writer
Patrick Muwanguzi,34,Male,Diploma's,10,Systems Administrator,"Networking, Troubleshooting, Server Management",Receptionist
Annet Mirembe,27,Female,UCE Certificate,4,Pilot,"Decision Making, Alertness, Communication",Artist
John Bosco Kintu,29,Male,UACE Certificate,6,Pilot,"Aviation, Navigation, Emergency Procedures",Mechanical Engineer
Mary Komuhangi,31,Female,Diploma's,9,Neurosurgeon,"Lab Analysis, DNA Extraction, Report Writing",Nurse
John Nabirye,36,Male,Diploma's,12,Chef,"Problem Solving, Data Entry, Mechanical Repair",Receptionist
Michael Tendo,32,Male,Diploma's,15,Financial Analyst,"Public Speaking, Teamwork, Sales",Bank teller
Robert Nakato,39,Male,Diploma's,10,Software Developer,"Public Speaking, Mechanical Repair, Excel",Human resource manager
Grace Namuli,35,Female,Bachelor's,7,Biotechnologist,"Problem Solving, Python, Public Speaking, Mechanical Repair, Customer Service",Police officer
Michael Kato,35,Male,Diploma's,5,Software Developer,"Communication, Time Management, Excel, Creativity",Nurse
Juliet Nakato,39,Female,Diploma's,5,TV Producer,"Creativity, Data Entry, Teamwork",UX designer
Stella Akena,25,Female,UACE Certificate,5,TV Producer,"Problem Solving, Excel, Python",Web Developer
Stella Nakato,27,Female,Diploma's,2,Artist,"Public Speaking, Creativity, Customer Service",Primary School Teacher
Joan Ouma,40,Female,UACE Certificate,12,Chef,"Communication, Teamwork, Sales, Problem Solving",Sales Representative
Samuel Tumusiime,22,Male,Bachelor's,2,Pilot,"Excel, Python, Data Entry",Graphic Designer
Ruth Akena,26,Female,UCE Certificate,2,Chef,"Problem Solving, Public Speaking, Mechanical Repair, Creativity",Receptionist
Samuel Tendo,38,Male,Diploma's,12,Journalist,"Teamwork, Problem Solving, Customer Service",Receptionist
Brenda Akena,28,Female,Bachelor's,4,TV Producer,"Communication, Sales, Python",Fashion designer
Joseph Nakato,26,Male,Bachelor's,12,Doctor,"Communication, Python, Problem Solving, Time Management",Police officer
Sarah Tendo,22,Female,Bachelor's,3,TV Producer,"Python, Sales, Mechanical Repair",Receptionist
Michael Mirembe,24,Male,UACE Certificate,3,Software Developer,"Python, Time Management, Mechanical Repair, Data Entry",Web Developer
Isaac Lwanga,30,Male,Diploma's,4,Journalist,"Data Entry, Customer Service, Teamwork, Mechanical Repair",Sales Representative
Sarah Tumusiime,29,Female,UACE Certificate,11,Mechanical Engineer,"Data Entry, Problem Solving, Time Management, Customer Service, Teamwork",Chef
Stella Lwanga,28,Female,Diploma's,10,Fashion Designer,"Excel, Public Speaking, Mechanical Repair",Lab Assistant
David Nabirye,27,Male,UACE Certificate,5,Artist,"Creativity, Teamwork, Data Entry",Cashier
John Nabirye,30,Male,Bachelor's,15,Software Developer,"Time Management, Sales, Teamwork, Excel",Call Center Agent
Joan Ouma,25,Female,Bachelor's,4,Engineer,"Communication, Sales, Problem Solving, Data Entry, Customer Service",Customer Service Agent
David Nabirye,29,Male,UACE Certificate,4,Mechanical Engineer,"Sales, Communication, Mechanical Repair",Cashier
Brenda Ouma,24,Female,Bachelor's,11,Mechanical Engineer,"Python, Public Speaking, Sales",Receptionist
Grace Nabirye,38,Female,UCE Certificate,2,Fashion Designer,"Customer Service, Communication, Excel",Bank teller
Sarah Nakato,31,Female,UCE Certificate,5,Data Analyst,"Data Entry, Communication, Teamwork, Excel",Customer Service Agent
Samuel Namuli,25,Male,UACE Certificate,8,Chef,"Time Management, Sales, Public Speaking",Data Entry Clerk
Mary Nakato,35,Female,Bachelor's,10,Financial Analyst,"Time Management, Excel, Communication, Public Speaking, Sales",Sales Representative
Sarah Nabirye,25,Female,Diploma's,15,Teacher,"Communication, Mechanical Repair, Creativity, Data Entry, Problem Solving",Cahier
Stella Namuli,33,Female,UCE Certificate,4,Radio presenter,"Problem Solving, Excel, Communication, Creativity",Web Developer
Peter Akena,26,Male,Diploma's,12,Software Developer,"Creativity, Public Speaking, Excel",IT support
Joan Namuli,29,Female,UCE Certificate,4,Data Analyst,"Excel, Problem Solving, Python, Time Management, Data Entry",High school teacher
Joan Ouma,33,Female,Diploma's,10,Automation Engineer,"Sales, Teamwork, Public Speaking, Creativity",Primary School Teacher
Agnes Tendo,30,Female,UACE Certificate,3,Chef,"Communication, Sales, Creativity, Teamwork",Cashier
Agnes Tendo,25,Female,UCE Certificate,4,Police Officer,"Teamwork, Problem Solving, Customer Service",Radio Presenter
Andrew Nakato,22,Male,UACE Certificate,6,Financial Analyst,"Customer Service, Creativity, Problem Solving, Teamwork",Nurse
Peter Tumusiime,27,Male,Diploma's,5,Software Developer,"Excel, Data Entry, Mechanical Repair, Creativity, Teamwork",Data Entry Clerk
Juliet Lwanga,35,Female,UCE Certificate,5,Financial Analyst,"Time Management, Data Entry, Mechanical Repair, Python",Bank teller
Sarah Tumusiime,38,Female,Bachelor's,15,Mechanical Engineer,"Data Entry, Public Speaking, Time Management",Data Entry Clerk
Daniel Ouma,28,Male,Diploma's,13,Fashion Designer,"Time Management, Communication, Public Speaking",Cashier
Sarah Mirembe,24,Female,Bachelor's,15,Doctor,"Excel, Mechanical Repair, Customer Service, Problem Solving, Data Entry",Data Entry Clerk
Michael Mirembe,24,Male,Bachelor's,14,Financial Analyst,"Public Speaking, Excel, Creativity, Problem Solving",Call Center Agent
David Lwanga,22,Male,Diploma's,7,Teacher,"Python, Mechanical Repair, Creativity, Time Management",Cashier
Brenda Nakato,27,Female,UCE Certificate,14,Fashion Designer,"Mechanical Repair, Public Speaking, Creativity",Lab Assistant
Brenda Nakato,28,Female,Diploma's,8,Lawyer,"Time Management, Customer Service, Teamwork, Excel",Lab Assistant
Mary Namuli,24,Female,Diploma's,11,Financial Analyst,"Communication, Data Entry, Public Speaking",Lawyer
Joan Lwanga,34,Female,Diploma's,3,Web Developer,"Creativity, Public Speaking, Excel",Graphic Designer
Sarah Nabirye,29,Female,Diploma's,14,TV Producer,"Sales, Communication, Time Management",Psychologist
Isaac Mirembe,26,Male,Diploma's,11,Lawyer,"Public Speaking, Mechanical Repair, Sales, Excel",Lawyer
Grace Nakato,27,Female,Diploma's,14,Data Analyst,"Python, Time Management, Mechanical Repair",Data Entry Clerk
Daniel Ouma,40,Male,UCE Certificate,2,Data Analyst,"Communication, Public Speaking, Python, Customer Service",Receptionist
Joan Namuli,33,Female,Diploma's,8,Chef,"Problem Solving, Creativity, Communication",Sales Representative
Andrew Tumusiime,38,Male,Diploma's,5,TV Producer,"Problem Solving, Mechanical Repair, Time Management, Sales, Teamwork",Personal assisstant
Esther Mirembe,22,Female,Bachelor's,4,Lawyer,"Mechanical Repair, Teamwork, Problem Solving, Customer Service",Cahier
Daniel Nakato,36,Male,Bachelor's,11,Data Analyst,"Creativity, Time Management, Mechanical Repair",IT officer
Isaac Namuli,26,Male,UACE Certificate,3,TV Producer,"Problem Solving, Time Management, Mechanical Repair",Receptionist
Mary Ouma,25,Female,Diploma's,5,Software Engineer,"Problem Solving, Excel, Creativity, Time Management, Mechanical Repair",Primary School Teacher
Michael Tendo,22,Male,Diploma's,10,Lawyer,"Creativity, Python, Data Entry",Police officer
John Nakato,36,Male,UACE Certificate,11,Lawyer,"Mechanical Repair, Teamwork, Excel",Bank teller
Joan Lwanga,30,Female,Bachelor's,6,Journalist,"Data Entry, Communication, Customer Service",Primary School Teacher
Mary Kato,27,Female,Diploma's,9,Mechanical Engineer,"Mechanical Repair, Data Entry, Public Speaking, Sales",Call Center Agent
Joan Tumusiime,25,Female,Diploma's,5,Teacher,"Data Entry, Customer Service, Sales, Creativity, Public Speaking",Bank teller
Robert Lwanga,28,Male,Bachelor's,14,Software Developer,"Communication, Public Speaking, Sales, Teamwork, Problem Solving",Call Center Agent
Andrew Kato,37,Male,UCE Certificate,2,Software Developer,"Mechanical Repair, Teamwork, Python, Customer Service, Problem Solving",Sales Representative
Brenda Kato,27,Female,UCE Certificate,3,Lawyer,"Problem Solving, Python, Teamwork, Public Speaking",Library Assistant
Ruth Namuli,27,Female,UACE Certificate,7,Artist,"Excel, Time Management, Mechanical Repair, Data Entry",Receptionist
Joseph Namuli,26,Male,Bachelor's,2,Engineer,"Data Entry, Communication, Sales, Customer Service",Receptionist
Isaac Nabirye,35,Male,UCE Certificate,4,Financial Analyst,"Time Management, Python, Excel, Creativity, Customer Service",Data Entry Clerk
Stella Namuli,39,Female,Bachelor's,15,Journalist,"Public Speaking, Data Entry, Sales, Problem Solving",Cashier
Joan Mirembe,38,Female,UACE Certificate,10,Lawyer,"Excel, Communication, Time Management, Public Speaking, Mechanical Repair",Fashion designer
Mary Akena,24,Female,UACE Certificate,13,Lawyer,"Public Speaking, Data Entry, Teamwork, Communication, Mechanical Repair",Fashion designer
David Namuli,22,Male,UACE Certificate,11,TV Producer,"Python, Time Management, Sales",Radio Presenter
Samuel Ouma,40,Male,UCE Certificate,8,Data Analyst,"Data Entry, Python, Teamwork",Customer Service Agent
Grace Tendo,30,Female,UCE Certificate,2,Mechanical Engineer,"Public Speaking, Python, Mechanical Repair, Teamwork, Customer Service",Police officer
Stella Kato,32,Female,Diploma's,8,Artist,"Communication, Teamwork, Creativity, Customer Service",Receptionist
Peter Ouma,29,Male,Diploma's,7,Mechanical Engineer,"Public Speaking, Python, Mechanical Repair, Data Entry, Teamwork",Human resource manager
Mary Kato,32,Female,UCE Certificate,6,High school teacher,"Problem Solving, Creativity, Python, Excel",Project Manager
Grace Mirembe,31,Female,Diploma's,7,Doctor,"Sales, Problem Solving, Time Management, Excel, Customer Service",Lab Assistant
Andrew Namuli,25,Male,UCE Certificate,3,Fashion Designer,"Excel, Sales, Mechanical Repair, Problem Solving, Public Speaking",Sales Representative
Juliet Mirembe,40,Female,UACE Certificate,7,Pilot,"Excel, Customer Service, Mechanical Repair, Problem Solving, Sales",Data Entry Clerk
Brenda Lwanga,30,Female,Bachelor's,8,Pilot,"Customer Service, Time Management, Mechanical Repair, Data Entry",Cashier
Joan Nabirye,36,Female,Bachelor's,3,Financial Analyst,"Mechanical Repair, Python, Public Speaking",Mechanical Engineer
Andrew Ouma,36,Male,UACE Certificate,13,Chef,"Sales, Problem Solving, Public Speaking, Python, Customer Service",Sales Representative
Peter Akena,25,Male,UACE Certificate,5,Police Officer,"Mechanical Repair, Teamwork, Python, Excel",Call Center Agent
Samuel Ouma,27,Male,UCE Certificate,15,Data Analyst,"Creativity, Sales, Teamwork, Data Entry, Excel",Sales Representative
Joseph Mirembe,32,Male,Bachelor's,9,Artist,"Python, Public Speaking, Sales",Web Developer
Brenda Mirembe,26,Female,Diploma's,14,Police Officer,"Problem Solving, Creativity, Excel",Customer Service Agent
Michael Nabirye,36,Male,UACE Certificate,12,Data Analyst,"Excel, Public Speaking, Time Management, Data Entry",Cashier
Stella Tumusiime,27,Female,Diploma's,4,Data Analyst,"Teamwork, Data Entry, Creativity, Public Speaking",Cashier
David Kato,32,Male,UCE Certificate,8,Mechanical Engineer,"Sales, Data Entry, Public Speaking, Creativity",Nurse
Daniel Ouma,26,Male,Bachelor's,13,Software Developer,"Time Management, Communication, Problem Solving",Data Entry Clerk
Peter Namuli,37,Male,UACE Certificate,10,Chef,"Data Entry, Customer Service, Time Management, Excel, Communication",Primary School Teacher
Sarah Mirembe,34,Female,UCE Certificate,15,Chef,"Public Speaking, Excel, Customer Service",Primary School Teacher
David Tumusiime,29,Male,Bachelor's,13,Lawyer,"Time Management, Public Speaking, Teamwork, Sales, Data Entry",Fashion designer
Samuel Mirembe,31,Male,Diploma's,4,Fashion Designer,"Customer Service, Public Speaking, Problem Solving, Creativity, Python",Receptionist
Robert Kato,24,Male,Diploma's,11,Teacher,"Mechanical Repair, Creativity, Sales, Python",Fashion designer
Samuel Akena,39,Male,Bachelor's,9,Chef,"Problem Solving, Communication, Customer Service",Primary School Teacher
Brenda Kato,37,Female,UCE Certificate,14,Doctor,"Time Management, Sales, Communication, Excel, Problem Solving",Mechanical Engineer
Daniel Tendo,22,Male,UACE Certificate,5,Lawyer,"Teamwork, Python, Sales",Customer Service Agent
Mary Kato,34,Female,UACE Certificate,5,Fashion Designer,"Public Speaking, Data Entry, Teamwork",Musician
